e81a7e2b-c264-49a6-a0fc-d6fae5555ac8_Basecall_Barcoding_2d	933
e9f3131b-3735-478d-8ecc-76dc2a7b701c_Basecall_Barcoding_2d	6176
659a62d8-2196-458c-8792-09fc12207068_Basecall_Barcoding_2d	10261
b3f35123-0efe-4e11-8ff2-7844ffe894ba_Basecall_Barcoding_2d	10003
eb84a8f8-a2ff-41d9-946f-0de959230236_Basecall_Barcoding_2d	1855
ff06b032-7e60-4926-b8e0-6bff7c2610fc_Basecall_Barcoding_2d	2678
7043d715-f684-4896-b01d-5d5532f8c9e4_Basecall_Barcoding_2d	15506
09902dc7-7f16-486c-88af-2f83d6982bf0_Basecall_Barcoding_2d	10826
c57acda0-1b80-4128-beca-bfe7d9266dea_Basecall_Barcoding_2d	9463
bb7fa6d4-08e1-4fbd-8134-cb11273ed8bd_Basecall_Barcoding_2d	8011
61449a5b-3099-40f4-a539-cb5bca6783f0_Basecall_Barcoding_2d	2114
4e4ed17a-eed5-40cd-a020-6c2770dadbc7_Basecall_Barcoding_2d	13168
51b0e9a6-f0c0-49aa-83cd-4352e00b3e29_Basecall_Barcoding_2d	10894
c5728455-2f91-45e7-bb3a-35c72de42c37_Basecall_Barcoding_2d	7776
610d005f-a883-4a36-97db-176004ff8497_Basecall_Barcoding_2d	5429
86c27fb1-4aa7-4ee0-b216-89ff1435603f_Basecall_Barcoding_2d	3861
18b09964-e1b1-43bd-ac19-3532ef9b8493_Basecall_Barcoding_2d	11200
df4e1711-85ed-4711-ad10-bb927e98177e_Basecall_Barcoding_2d	9476
6035d936-f905-4d02-9133-b0c3edf3c516_Basecall_Barcoding_2d	6387
48203f92-e3c8-407b-819d-295746c4022b_Basecall_Barcoding_2d	9851
71d1a548-f551-4c9f-92d7-71799b6e1007_Basecall_Barcoding_2d	7611
352c4e4b-91a8-45e3-8cdb-6e08bf0f06fd_Basecall_Barcoding_2d	5380
4c4d6044-f111-4370-977e-03023db3ba2b_Basecall_Barcoding_2d	14867
0a8cbd0d-0ffb-41dc-b2aa-2f28add8fe53_Basecall_Barcoding_2d	8230
6138b1ea-f6f2-4983-bf07-740bf6c0de66_Basecall_Barcoding_2d	11045
f6e24453-44d2-4277-8f16-b876e744fe08_Basecall_Barcoding_2d	7215
20a5c503-3234-4e44-9498-2d2b3a744b49_Basecall_Barcoding_2d	320
